glyph_name,ps_name,sort_final
oboeLH2ndFingerTrill,uniE17B,227
oboeLHCSharpTrillTrill,uniE17C,228
oboeLH3rdFingerTrill,uniE17D,229
oboeLHGSharpTrill,uniE17E,230
oboeLHLowBTrill,uniE17F,231
oboeLHEFlatTrill,uniE180,232
oboeLHFTrill,uniE181,233
oboeLHLowBFlatTrill,uniE182,234
oboeRHATrill,uniE183,235
oboeRHGSharpTrill,uniE184,236
oboeRH1stFingerTrill,uniE185,237
oboeRHDTrillTrill,uniE186,238
oboeRH2ndFingerTrill,uniE187,239
oboeRHFTrill,uniE188,240
oboeRH3rdFingerTrill,uniE189,241
oboeRHCBananaTrill,uniE18A,242
oboeRHLowCTrill,uniE18B,243
oboeRHLowCSharpTrill,uniE18C,244
oboeRHLowEFlatKeyTrill,uniE18D,245
bassoonChart,uniE1E0,246
bassoonChartThumbsHands,uniE1E1,247
bassoonLHHighEClosed,uniE1E2,248
bassoonLH1stFingerClosed,uniE1E3,249
bassoonLHHighEFlatClosed,uniE1E4,250
bassoonLH2ndFingerClosed,uniE1E5,251
bassoonLH3rdFingerRingClosed,uniE1E6,252
bassoonLH3rdFingerClosed,uniE1E7,253
bassoonLHLowEFlatClosed,uniE1E8,254
bassoonLHLowDFlatClosed,uniE1E9,255
bassoonRHCSharpTrillClosed,uniE1EA,256
bassoonRH1stFingerClosed,uniE1EB,257
bassoonRH2ndFingerRingClosed,uniE1EC,258
bassoonRH2ndFingerClosed,uniE1ED,259
bassoonRHBFlatTrillClosed,uniE1EE,260
bassoonRHLowGClosed,uniE1EF,261
bassoonRHLowFClosed,uniE1F0,262
bassoonRHFSharpClosed,uniE1F1,263
bassoonRHAFlatClosed,uniE1F2,264
bassoonLTHighDClosed,uniE1F3,265
bassoonLTHighBClosed,uniE1F4,266
bassoonLTHighAClosed,uniE1F5,267
bassoonLTCSharpClosed,uniE1F6,268
bassoonLTWhisperKeyClosed,uniE1F7,269
bassoonLTLowBFlatClosed,uniE1F8,270
bassoonLTLowBClosed,uniE1F9,271
bassoonLTLowCClosed,uniE1FA,272
bassoonLTLowDClosed,uniE1FB,273
bassoonRTBFlatClosed,uniE1FC,274
